Date,Open,High,Low,Close,Adj Close,Volume,MACD,RSI,MA,EMA,SMA,STD,Upper,Lower,numeric_classes
08-02-2018,50.145,52.095001,50.087502,51.8475,49.549377,249616000,0.69071934,77.03702975,48.11162525,48.28930798,48.11162525,1.131427099,50.37447945,45.84877105,0
08-03-2018,51.7575,52.185001,51.369999,51.997501,49.692722,133789600,0.897629423,78.58097532,48.3618753,48.64246922,48.3618753,1.393924894,51.14972509,45.57402551,0
08-06-2018,52,52.3125,51.767502,52.267502,49.950768,101701600,1.071047609,78.9612028,48.5930004,48.98771044,48.5930004,1.631743321,51.85648704,45.32951376,0
08-07-2018,52.330002,52.375,51.689999,51.7775,49.482479,102349600,1.155622409,76.66771614,48.8025003,49.25340468,48.8025003,1.759804797,52.32210989,45.28289071,4
08-08-2018,51.512501,51.952499,51.130001,51.8125,49.51593,90102000,1.211507253,75.62518464,49.04462525,49.49712805,49.04462525,1.826283258,52.69719177,45.39205873,0
08-09-2018,52.3825,52.445,51.799999,52.220001,49.905369,93970400,1.273992527,77.96662376,49.2677503,49.75644928,49.2677503,1.930387529,53.12852536,45.40697524,5
08-10-2018,51.84,52.275002,51.6675,51.8825,49.756721,98444800,1.281506636,74.59824514,49.4702503,49.9589303,49.4702503,1.98359551,53.43744132,45.50305928,3
8/13/2018,52.327499,52.737499,51.924999,52.217499,50.077991,103563600,1.299513261,74.5589326,49.6947502,50.17403208,49.6947502,2.029526364,53.75380293,45.63569747,2
8/14/2018,52.540001,52.639999,52.064999,52.4375,50.288982,82992000,1.316361685,73.79659002,49.92350025,50.38960046,49.92350025,2.06957367,54.06264759,45.78435291,0
8/15/2018,52.305,52.685001,52.0825,52.560001,50.40646,115230400,1.324332904,75.64797062,50.1715004,50.59630527,50.1715004,2.073669013,54.31883843,46.02416237,4
8/16/2018,52.9375,53.452499,52.8675,53.330002,51.144913,114001600,1.37691063,85.91639491,50.43950045,50.85665734,50.43950045,2.120017534,54.67953552,46.19946538,0
8/17/2018,53.360001,54.487499,53.290001,54.395,52.166279,141708000,1.48736982,90.34701059,50.7662504,51.19364235,50.7662504,2.203488397,55.17322719,46.35927361,0
8/20/2018,54.525002,54.794998,53.7775,53.865002,51.65799,121150800,1.514682795,84.92922458,51.0643755,51.44805756,51.0643755,2.198988821,55.46235314,46.66639786,0
8/21/2018,54.200001,54.297501,53.5075,53.759998,51.557281,104639200,1.51044412,76.82245411,51.3398754,51.66824236,51.3398754,2.172836518,55.68554844,46.99420236,0
8/22/2018,53.525002,54.09,53.459999,53.762501,51.559689,76072400,1.490109851,69.78302322,51.59275035,51.86769557,51.59275035,2.14415723,55.88106481,47.30443589,0
8/23/2018,53.662498,54.262501,53.650002,53.872501,51.665184,75532800,1.465972064,69.53120931,51.8587503,52.05862942,51.8587503,2.076051767,56.01085383,47.70664677,0
8/24/2018,54.150002,54.224998,53.7775,54.040001,51.825813,73905600,1.443716282,68.86637152,52.1735004,52.24733147,52.1735004,1.888237554,55.94997551,48.39702529,0
8/27/2018,54.287498,54.685001,54.0825,54.485001,52.252594,82100400,1.445325383,79.09722651,52.5238754,52.46044286,52.5238754,1.598992315,55.72186003,49.32589077,2
8/28/2018,54.752499,55.134998,54.73,54.924999,52.674549,91107200,1.465214687,80.77109167,52.89150045,52.69516249,52.89150045,1.194836365,55.28117318,50.50182772,0
8/29/2018,55.037498,55.872501,54.852501,55.744999,53.460957,109019200,1.529512976,82.22116474,53.1600004,52.98562311,53.1600004,1.202910502,55.5658214,50.7541794,0
8/30/2018,55.8125,57.064999,55.599998,56.2575,53.952465,195175200,1.603342052,88.75107972,53.3805004,53.29723043,53.3805004,1.34540781,56.07131602,50.68968478,0
8/31/2018,56.627499,57.217499,56.5,56.907501,54.575829,173360400,1.694765573,89.34561475,53.6260004,53.64106572,53.6260004,1.516817343,56.65963509,50.59236571,0
09-04-2018,57.102501,57.294998,56.657501,57.09,54.750847,109560400,1.761638444,89.27814992,53.8671253,53.96953566,53.8671253,1.665515776,57.19815685,50.53609375,3
09-05-2018,57.247501,57.4175,56.275002,56.717499,54.3936,133332000,1.764240888,83.67756424,54.11412525,54.23124645,54.11412525,1.705144384,57.52441402,50.70383648,0
09-06-2018,56.557499,56.837502,55.325001,55.775002,53.489727,137160000,1.670989585,69.26713948,54.31225035,54.37827079,54.31225035,1.653048089,57.61834653,51.00615417,0
09-07-2018,55.462502,56.342499,55.177502,55.325001,53.058159,150479200,1.542989315,58.11518772,54.46750035,54.46843557,54.46750035,1.590843818,57.64918799,51.28581271,2
09-10-2018,55.237499,55.462502,54.1175,54.5825,52.346088,158066000,1.365889431,56.03699853,54.60250035,54.47929885,54.60250035,1.469897868,57.54229609,51.66270461,0
09-11-2018,54.502499,56.075001,54.139999,55.962502,53.669556,142996000,1.321655898,65.2580726,54.7897505,54.62055629,54.7897505,1.386239058,57.56222862,52.01727238,4
09-12-2018,56.235001,56.25,54.959999,55.267502,53.003025,197114800,1.216496795,59.51327945,54.9312506,54.68217017,54.9312506,1.273334501,57.4779196,52.3845816,0
9/13/2018,55.880001,57.087502,55.642502,56.602501,54.283321,166825600,1.22673962,64.94252874,55.1333756,54.86505882,55.1333756,1.195592723,57.52456105,52.74219015,0
9/14/2018,56.4375,56.709999,55.630001,55.959999,53.667145,127997200,1.169530966,59.98958169,55.26487545,54.96933884,55.26487545,1.129618075,57.5241116,53.0056393,0
9/17/2018,55.537498,55.737499,54.317501,54.470001,52.238201,148780400,0.992521143,49.92961051,55.2686255,54.92178285,55.2686255,1.126699038,57.52202358,53.01522742,0
9/18/2018,54.447498,55.462502,54.279999,54.560001,52.324516,126286800,0.849706938,48.22902509,55.30337545,54.88732744,55.30337545,1.091290938,57.48595733,53.12079357,3
9/19/2018,54.625,54.904999,53.825001,54.592499,52.355686,108495200,0.730724631,43.9453638,55.3450005,54.85924854,55.3450005,1.044183912,57.43336832,53.25663268,3
9/20/2018,55.060001,55.57,54.787498,55.0075,52.75367,106435200,0.662283021,43.36518047,55.40725045,54.87336773,55.40725045,0.980015617,57.36728168,53.44721922,3
9/21/2018,55.195,55.34,54.322498,54.415001,52.185452,384986800,0.553848414,36.68891571,55.43437545,54.82971375,55.43437545,0.942074122,57.31852369,53.55022721,0
9/24/2018,54.205002,55.314999,54.157501,55.197498,52.935886,110773600,0.525002276,40.50186821,55.4922503,54.86474082,55.4922503,0.885776799,57.2638039,53.7206967,4
9/25/2018,54.9375,55.705002,54.924999,55.547501,53.271549,98217600,0.524339561,44.114697,55.5453753,54.9297656,55.5453753,0.853459412,57.25229412,53.83845648,0
9/26/2018,55.25,55.9375,54.939999,55.105,52.847176,95938800,0.482545735,46.45126135,55.55437535,54.94645459,55.55437535,0.847501282,57.24937791,53.85937279,2
9/27/2018,55.955002,56.610001,55.884998,56.237499,53.933277,120724800,0.534643988,54.50727587,55.57900035,55.0694112,55.57900035,0.860388614,57.29977758,53.85822312,0
9/28/2018,56.197498,56.459999,56.005001,56.435001,54.122684,91717600,0.585124044,59.67110836,55.5878754,55.19946737,55.5878754,0.868631797,57.32513899,53.85061181,0
10-01-2018,56.987499,57.355,56.587502,56.814999,54.487114,94403200,0.648319096,54.96938093,55.5832503,55.35332753,55.5832503,0.861452126,57.30615455,53.86034605,2
10-02-2018,56.8125,57.5,56.657501,57.32,54.971424,99152800,0.730727617,62.23546044,55.5947503,55.54062967,55.5947503,0.883868751,57.3624878,53.8270128,4
10-03-2018,57.512501,58.3675,57.445,58.017502,55.64035,114619200,0.842606503,59.12903753,55.65975045,55.77652227,55.65975045,1.009635582,57.67902161,53.64047929,0
10-04-2018,57.695,58.087502,56.682499,56.997501,54.662144,128168000,0.839290946,56.3826638,55.7208754,55.89280596,55.7208754,1.05305282,57.82698104,53.61476976,0
10-05-2018,56.990002,57.102501,55.145,56.072498,53.77504,134322000,0.753339305,60.59501448,55.75825025,55.90991949,55.75825025,1.051526933,57.86130412,53.65519638,0
10-08-2018,55.552502,56.200001,55.049999,55.942501,53.650372,118655600,0.667043082,59.09240142,55.8262503,55.91302249,55.8262503,1.014825587,57.85590147,53.79659913,0
10-09-2018,55.91,56.817501,55.5625,56.717499,54.3936,107564000,0.653653652,62.7321719,55.86400015,55.9896393,55.86400015,1.034021459,57.93204307,53.79595723,0
10-10-2018,56.365002,56.587502,54.012501,54.09,51.873764,167962400,0.426113254,45.65474781,55.80512505,55.80872127,55.80512505,1.101117808,58.00736067,53.60288943,0
10-11-2018,53.630001,54.875,53.080002,53.612499,51.415833,212497600,0.204893623,46.15752049,55.65562495,55.59955725,55.65562495,1.186803382,58.02923171,53.28201819,3
10-12-2018,55.105,55.720001,54.209999,55.5275,53.252365,161351600,0.182002042,51.42549386,55.634,55.59269465,55.634,1.184904233,58.00380847,53.26419153,0
10/15/2018,55.290001,55.4575,54.317501,54.34,52.113533,123164000,0.0672636,45.13594881,55.62749995,55.4733904,55.62749995,1.191961234,58.01142242,53.24357748,0
10/16/2018,54.732498,55.747501,54.189999,55.537498,53.261959,116736000,0.072129179,51.64229353,55.6763748,55.47949588,55.6763748,1.165635842,58.00764648,53.34510312,0
10/17/2018,55.575001,55.66,54.834999,55.297501,53.031799,91541600,0.055974197,46.17108695,55.7116249,55.46216304,55.7116249,1.141544167,57.99471323,53.42853657,0
10/18/2018,54.465,54.935001,53.25,54.005001,51.792252,130325200,-0.060426136,40.91248793,55.66149995,55.3233857,55.66149995,1.194854355,58.05120866,53.27179124,2
10/19/2018,54.514999,55.314999,54.357498,54.827499,52.581051,132314800,-0.085321984,42.80542778,55.68212485,55.2761584,55.68212485,1.175610746,58.03334634,53.33090336,0
10/22/2018,54.947498,55.84,54.735001,55.162498,52.902321,115168400,-0.077131382,42.09271413,55.68037485,55.2653336,55.68037485,1.176395913,58.03316668,53.32758302,0
10/23/2018,53.9575,55.8125,53.674999,55.682499,53.401009,155071200,-0.028353691,41.3293568,55.68712475,55.30506363,55.68712475,1.175980607,58.03908596,53.33516354,0
10/24/2018,55.650002,56.057499,53.634998,53.772499,51.569271,163702000,-0.142179106,38.76696692,55.6204997,55.1591051,55.6204997,1.246338257,58.11317621,53.12782319,0
10/25/2018,54.427502,55.345001,54.1875,54.950001,52.698532,119423200,-0.135806503,46.15780355,55.5561248,55.13919042,55.5561248,1.246042573,58.04820995,53.06403965,0
10/26/2018,53.974998,55.047501,53.1675,54.075001,51.859383,189033600,-0.199066641,43.9179263,55.4381248,55.03783905,55.4381248,1.26994911,57.97802302,52.89822658,3
10/29/2018,54.797501,54.922501,51.522499,53.060001,50.885971,183742000,-0.327329522,38.27160834,55.2503749,54.84947352,55.2503749,1.331744678,57.91386426,52.58688554,4
10/30/2018,52.787498,53.794998,52.317501,53.325001,51.14011,146640000,-0.402950531,47.10884666,55.05062495,54.70428566,55.05062495,1.304305615,57.65923618,52.44201372,0
10/31/2018,54.220001,55.112499,54.154999,54.715,52.47316,153435600,-0.346722621,53.89783062,54.88549985,54.70530607,54.88549985,1.102342203,57.09018426,52.68081544,0
11-01-2018,54.762501,55.59,54.202499,55.555,53.278748,233292800,-0.231709613,50.10522293,54.8133748,54.78622931,54.8133748,0.999253654,56.81188211,52.81486749,0
